sukunimi;etunimi;id;vaalipiiri;puolue;IP;KD;KESK;KOK;KTP;M11;PIR;PS;PSYL;RKP;SDP;SKP;STP;VAS;VIHR;puolue.e;correct
Kautio;Kimmo;4367;06 Häme;VAS;0.213428967765346;0.000456952684906592;0.0270106572869975;5.6877835615108e-05;0.00620670883691579;0.00522128659727589;0.0347322934011442;0.00688827164192971;0.00522074581519247;0.000366711534350899;0.0477818857158552;0.096791409653046;0.0206943610909457;0.484802234926018;0.0503406352144615;vas;1
Kautto;Juho;5289;11 Keski-Suomi;VAS;0.00435060944336701;0.00113575397742145;0.0147419202960713;7.93040045911292e-05;0.00237928461915317;0.000341881151461538;0.00234664639549476;0.00630568384463476;0.00290850962256332;0.000929739247891718;0.201046900835939;0.0143017436154476;0.00682088275112252;0.74018206598916;0.00212907420568149;vas;1
Keinänen;Tuomo;4513;09 Savo-Karjalan vaalipiiri;KD;0.000636929002732745;0.69330119209228;0.0361641771800339;0.00932378289298464;0.00163123497638199;0.000166116625756705;0.000709124208962515;0.0451665052619616;0.005756531737668;0.0173586175363114;0.0242420712111219;0.00110707119500447;0.00119603017093706;0.0868005642229735;0.0764400516848895;kd;1
Kejonen;Eira;4759;03 Varsinais-Suomi;SKP;0.0846459547985317;0.0036120297109741;0.00256831322036168;5.11726949019572e-06;0.0020920926674052;0.000637220558350703;0.00106613021578831;0.00208919979510509;0.000978261402876655;0.00024255819640806;0.00308149616823029;0.790359088972779;0.0134547084761151;0.0929540009437585;0.00221382760382561;skp;1
Kekkonen;Ilmari;5899;02 Uusimaa;KESK;0.0343180033194414;0.409524143201185;0.298649160307927;0.101736517306814;0.00423789915711686;0.00814669375119948;0.00203704746900137;0.0460489259771973;0.00960020663673365;0.00113622039030697;0.000492023370943395;0.00331130802789637;0.00466620254428069;0.00185746079308521;0.0742381877468709;kd;0
Kela;Juhani;6107;12 Oulu;VIHR;0.0036416916364221;0.0153874217019373;0.171753514468894;0.00265130564954415;0.00548156298206416;0.00740498061745222;0.00440507319082209;0.000695228821177703;0.00926793496383372;0.135648525031907;0.0579430895041857;0.0154121403236538;0.0113828428824908;0.094891536978523;0.464033151247093;vihr;1
Kelkka;Teemu;5009;02 Uusimaa;KESK;0.00742113623724387;0.00577051884291242;0.625127261975739;0.0142593062083497;0.0116935156440555;0.00775718777791438;0.0701099169503306;0.0551898123857281;0.0298706034406548;0.0039736257561327;0.0785641248011684;0.0029710039200417;0.0168229794969296;0.00653983892014961;0.0639291676426498;kesk;1
Kemell;Ann-Mari;5640;02 Uusimaa;KESK;0.000811818122836326;0.0134586532667367;0.839531324555548;0.0662034662083458;0.00210503764823279;0.000245274684263844;0.00151309552914827;0.00037097540062119;0.00572105587912297;0.0260084536802133;0.000417128687470792;0.000794816825654467;0.00489531340523241;0.000251817296536311;0.0376717688100363;kesk;1
Kemiläinen;Lari;4190;11 Keski-Suomi;KD;0.000690702376583338;0.023903413720675;0.213429021558758;0.00303589508543413;0.00235537318490251;0.000667983569345791;0.00449036302608037;0.00516079042763661;0.00829262595554445;0.00683409010030736;0.077638312119044;0.000697012003351409;0.00147118441349196;0.155427585366371;0.495905647092474;vihr;0
Kemppainen;Ilkka;4598;11 Keski-Suomi;KESK;0.00422568001012032;0.0050411449604471;0.523332898481997;0.0579208420903917;0.00439056554973528;0.0241933657653911;0.166452372059082;0.175327302875664;0.0184058729477999;0.00204131319563524;0.00962243352437045;0.00025009158129235;0.00415125241941613;0.000746480135501446;0.00389838440315479;kesk;1
Kemppainen;Katariina;5470;02 Uusimaa;KESK;0.00301717833256201;0.00935779998794014;0.712686914188344;0.096551424639324;0.00240371616903443;0.0102101883308906;0.0180200444831395;0.0067496159320827;0.0105631260511551;0.0118877574083583;0.00117860918709524;0.00035077539964164;0.00162428549254074;0.000611962869977907;0.114786601527914;kesk;1
Kemppainen;Toni;4918;02 Uusimaa;PS;0.0400498305396135;0.000465509937162215;0.081605134996491;0.00628352642270921;0.00235796688235468;0.16604063637684;0.00807558166238861;0.674842170232796;0.00809957720899838;0.000154515430480888;0.00632927506656948;0.00117130373752933;0.00324645648987451;0.00093964846585936;0.000338866550333181;ps;1
Kemppi;Eija;5917;02 Uusimaa;KD;7.96340382276116e-05;0.942034200027934;0.0283486796768462;0.00243454850529526;0.000599529375666183;0.000121518178327562;1.25736088178475e-05;0.000856640767154301;0.00160844479816915;0.012151960272518;0.00529849148361094;0.00116807058530979;0.000664716769858819;0.0028030715711;0.00181792034116403;kd;1
Kemppi;Hilkka;5728;06 Häme;KESK;0.00817567577194355;0.0301256943221569;0.583175248168343;0.0128654975442851;0.00403061175905908;0.00107359041702523;0.0771483113090531;0.0119367527444683;0.00897712560831552;0.00176833989687448;0.000636838148254928;0.00281528004396919;0.00862524070514742;0.00136781487026405;0.24727797869084;kesk;1
Kerijoki;Harri;5032;06 Häme;PS;0.0193447777015836;0.130968433256946;0.0784853974133473;0.000310688692188524;0.00153922734862967;0.0145234712571573;0.00104318641393384;0.708229108669036;0.0029991695788005;5.71288173390239e-05;0.00561969764137087;0.00127663131699657;0.00249391153710516;0.0329709509472965;0.000138219408269212;ps;1
Keronen;Jiri;5904;02 Uusimaa;PIR;0.0828004522075095;3.84836195609383e-05;0.00265022944380929;0.000653237696393273;0.00110559868631676;0.10059078751664;0.782830490451585;0.0253544190730084;0.000855738344071293;2.38021744004929e-05;1.25253860406508e-05;0.000766531346629866;0.00185902728351638;6.51314896372485e-05;0.000393545280880475;pir;1
Keränen;Miikka;5233;13 Lappi;VIHR;0.000142576956650646;0.000484128048260128;0.0112269466993689;0.0247427753367085;0.00135632666572386;0.000138630626458531;0.127657488540296;0.000457337542055644;0.00327750072501607;0.045170043951026;0.00160509672523583;0.0011174218167475;0.00115068467192503;0.00261566444479824;0.778857377249729;vihr;1
Keränen;Niilo;6113;12 Oulu;KESK;7.89071508208964e-05;0.0848377772745391;0.390646905431547;0.0124161130441283;0.00344103677383744;0.000138184055654088;0.000555224470748836;0.00126941000069441;0.010923210384852;0.0436888378864693;0.423644291205472;0.00198427103743852;0.0066095208330837;0.0184922377425014;0.00127407270821272;sdp;0
Keränen;Silja;4463;12 Oulu;VIHR;0.000157739781262044;0.000639472053632267;0.0103293985314367;0.00163129262942278;0.000674033210944601;4.19819095065062e-05;0.027032831752574;3.46485443564412e-05;0.0011975692121424;0.0149992521104617;0.000929382469682645;0.000531078410658435;0.00113659097145217;0.000531720547075919;0.940133007865391;vihr;1
Keskinen;Lotta;5763;01 Helsinki;RKP;0.00145431234375455;0.0117221631099779;0.0574579879712995;0.0340374927953849;0.004789092571487;0.000540471783140169;0.00251852491302797;0.00128725538935357;0.0130219505463472;0.507459992712832;0.00250655539054645;0.0100525237959943;0.0046359077619987;0.00389137649143006;0.344624392423425;rkp;1
Keskinen;Timo;4550;07 Pirkanmaa;KD;2.11093599599722e-05;0.909502673617158;0.0675387859062297;0.00732631122783243;0.000360649397821387;7.3205738038107e-05;1.31527993967553e-05;0.00356085852314776;0.00205520672226283;0.0043417958248854;0.00437409549893536;2.01718101601055e-05;0.000286757675583676;8.19109799731519e-05;0.000443314918615;kd;1
Kesseli;Rauno;4530;07 Pirkanmaa;VAS;0.00103957069382187;0.000432760201010908;0.00068496492632378;1.30974844058718e-05;0.00085500835349509;2.70132983278481e-05;0.00140522943388974;6.60000717785162e-05;0.00135087512973566;0.0032250861218773;0.0677985535647189;0.012177578579531;0.000920061699030112;0.824763379494355;0.0852408209476987;vas;1
Keto;Jarmo;4544;01 Helsinki;PS;0.104345544999188;0.000118164162500808;0.00137297875628581;0.00253888853505954;0.0012130659062111;0.531649515589977;0.234897383972847;0.114660460579179;0.00123878975667242;2.83883795486063e-05;1.92802003955818e-05;0.000437796574419361;0.00203972982625621;3.23528774426617e-05;0.00540765988401669;m11;0
Ketoharju;Hannu;4588;09 Savo-Karjalan vaalipiiri;SKP;0.0195120020188069;0.0105201665196475;0.00777290507355036;1.30182406772016e-05;0.0031269144960424;0.000549744214406928;0.000300706508350462;0.000169540399186112;0.00193646550634882;0.00978873844823836;0.0118724755279091;0.531672829080108;0.016311220228002;0.370377996888865;0.016075276849861;skp;1
Ketoharju;Heikki;5070;01 Helsinki;SKP;0.0171045826888711;0.00395993042955671;0.002492059817722;2.1383218470003e-05;0.00317563802052311;0.000349902201135493;0.000198115099056199;0.000293829911398082;0.00148969692493029;0.0116660572564607;0.0568007036630796;0.750088686210364;0.0138616653607625;0.137653215737078;0.00084453346059212;skp;1
Ketola;Erkki;6199;04 Satakunta;IP;0.704471224499931;0.000199318973233391;0.0111771861747371;1.34549975904701e-05;0.0021226183689127;0.0333020831608119;0.00474284554234895;0.0639404711076095;0.00188504267100806;6.44370208293816e-06;0.00316356322792355;0.0661400670380062;0.0130617418121543;0.0902817029023529;0.00549223582129703;ip;1
